nr,datum,zeit,typ,ort,haendler,kategorie,betrag_fw,waehrung,betrag_eur,zahler,zahlmittel,anmerkung
2,2026-09-02,15:03,Ausgabe,Flughafen Wien,Relay F Gate,Sonstiges,,EUR,11.84,Patrick,TBD,Kiosk - Karte auf Wunsch nicht weiter geklaert
3,2026-09-02,20:05,Ausgabe,Flughafen Muenchen,MUC Airport Retail,Sonstiges,,EUR,5.91,Patrick,TBD,Transit MUC - Karte auf Wunsch nicht weiter geklaert
4,2026-09-03,09:08,Abhebung,Windhoek,ATM WHKHKC01,Bargeld,4047.00,NAD,217.20,Patrick,Oberbank Debit,Bargeldbezug in die Reisekasse - KEINE Ausgabe
5,2026-09-03,09:08,Ausgabe,Windhoek,ATM Behebungsentgelt,Gebühren,,EUR,2.52,Patrick,Oberbank Debit,Entgelt zur Abhebung Nr. 4
6,2026-09-03,12:26,Ausgabe,Windhoek,Superspar Maerua Mall,Lebensmittel,3122.63,NAD,169.22,Patrick,Oberbank Debit,Grosseinkauf Camping-Proviant - Karte von Patrick bestaetigt
7,2026-09-03,13:51,Ausgabe,Rehoboth,Agrimark Rehoboth Express,Tanken,1343.30,NAD,73.42,Patrick,TBD,Diesel/Tanken - von Patrick bestaetigt; Karte auf Wunsch nicht weiter geklaert
8,2026-09-05,,Ausgabe,Quiver Tree Forest,Quivertree Forest Camping,Unterkunft,720.00,NAD,38.64,Patrick,Bargeld,Bar aus der Reisekasse; EUR zum ATM-Kurs 18.633 NAD/EUR umgerechnet
9,2026-09-04,11:58,Ausgabe,Mariental,Spar Mariental,Lebensmittel,,EUR,20.11,Nora,N26 Debit,
10,2026-09-05,12:19,Ausgabe,Keetmanshoop,Agra Keetmanshoop - Fo,Tanken,,EUR,98.15,Nora,N26 Debit,KATEGORIE ZU BESTAETIGEN - Agra ist Landhandel mit Tankstelle; N26 kategorisiert als Transport & Auto
11,2026-09-05,15:00,Ausgabe,Aus,Klein-Aus Vista - Unterkunft (Rest),Unterkunft,460.00,NAD,24.96,Nora,N26 Debit,Restzahlung Desert Horse Campsite (2 Naechte) laut Rechnung 6483110; 920 NAD gesamt minus 460 NAD Deposit vom 23.04.
12,2026-09-06,08:24,Ausgabe,Kolmanskop,Ghost Town Tours CC,Eintritt,,EUR,24.96,Nora,N26 Debit,"Kolmanskop Eintritt (2 Pers.) - im alten Sheet als ""24 EUR Desert Horse"" gefuehrt (Patrick 07.09.)"
13,2026-09-06,11:24,Ausgabe,Aus,Desert Deli,Restaurant,,EUR,4.72,Nora,N26 Debit,
14,2026-09-06,12:46,Ausgabe,Lüderitz,Portugues Fisherman,Restaurant,,EUR,45.57,Nora,N26 Debit,
15,2026-09-06,13:43,Ausgabe,Lüderitz,Spar Lüderitz,Lebensmittel,,EUR,38.38,Nora,N26 Debit,
16,2026-09-06,13:54,Ausgabe,Lüderitz,Studio88 Lüderitz,Shopping,,EUR,20.07,Nora,N26 Debit,
17,2026-09-06,14:19,Ausgabe,Lüderitz,Lüderitz Fuel Center,Tanken,,EUR,60.20,Nora,N26 Debit,
18,2026-09-05,15:00,Ausgabe,Aus,Klein-Aus Vista - Sunset Drive (2 Pers.),Aktivitäten,1400.00,NAD,75.95,Nora,N26 Debit,Teil derselben N26-Zahlung von 100.91 EUR wie Nr. 11 - laut Rechnung 6483110 zwei Sitze a 700 NAD
19,2026-09-07,10:05,Ausgabe,Aus,Klein-Aus Vista - Getränke,Restaurant,102.00,NAD,5.53,Nora,N26 Debit,"Restsaldo der Rechnung 6483110 beim Auschecken (Windhoek Lager, Savanna Dry, Hansa Draught) - EUR mit dem Kurs der 05.09.-Zahlung gerechnet, echter N26-Betrag noch nicht bekannt"
20,2026-09-07,10:43,Ausgabe,Namib Garage,Namib Garage,Lebensmittel,127.50,NAD,6.92,Nora,N26 Debit,Debit Mastercard ****1143 (Noras N26) - echter N26-Betrag laut App (Kurs 18.425 NAD/EUR)
21,2026-09-07,,Ausgabe,Helmeringhausen,Helmeringhausen,Restaurant,,EUR,30.11,Nora,N26 Debit,Essen + Kaffee/Kuchen
22,2026-09-07,,Ausgabe,Helmeringhausen,Helmeringhausen,Restaurant,50.00,NAD,2.68,Patrick,Bargeld,Trinkgeld zum Essen (Nr. 21) - bar von Nora aus der Reisekasse bezahlt; Zahler laut Regel 9 Patrick (Abhebender)
23,2026-09-07,,Ausgabe,Helmeringhausen,Helmeringhausen,Tanken,980.01,NAD,53.17,Nora,N26 Debit,Volltanken - 34.29 Liter a 28.58 NAD/Liter bei km-Stand 21586 (siehe 04_tanken.csv Nr. 4)
24,2026-09-08,,Ausgabe,Little Sossus Campsite,Little Sossus Campsite,Lebensmittel,,EUR,5.41,Nora,N26 Debit,Wasser
25,2026-09-08,,Ausgabe,Sesriem,Tankstelle Sesriem,Lebensmittel,,EUR,21.37,Nora,N26 Debit,Essen an der Tankstelle (Kategorie per App-Aenderung 08.09. Restaurant -> Lebensmittel)
26,2026-09-08,,Ausgabe,Sesriem,NWR Sesriem,Eintritt,,EUR,67.08,Nora,N26 Debit,Park-Permit Namib-Naukluft (Sesriem Canyon / Elim Dune / Sossusvlei)
27,2026-09-09,,Ausgabe,Sesriem,Tankstelle Sesriem,Tanken,,EUR,83.94,Nora,N26 Debit,54.60 Liter bei km-Stand 22085 (siehe 04_tanken.csv Nr. 5) - NAD-Betrag und Preis/Liter nicht genannt
28,2026-09-09,,Ausgabe,Sesriem,Tankstellenshop Sesriem,Lebensmittel,,EUR,21.15,Nora,N26 Debit,Zahlmittel N26 angenommen (Noras einzige Karte)
29,2026-09-09,,Abhebung,Sesriem,ATM,Bargeld,3000.00,NAD,159.23,Nora,N26 Debit,Bargeldbezug in die Reisekasse - KEINE Ausgabe; Gesamtabzug 161.88 EUR fuer 3050.00 NAD inkl. Entgelt (Kurs 18.841). Ort angenommen (heute in Sesriem) - ggf. korrigieren
30,2026-09-09,,Ausgabe,Sesriem,ATM Behebungsentgelt,Gebühren,50.00,NAD,2.65,Nora,N26 Debit,Entgelt zur Abhebung Nr. 29
31,2026-09-07,,Ausgabe,Wereldend,Wereldend Mountain Campsite,Unterkunft,600.00,NAD,32.20,Patrick,Bargeld,EUR zum Kurs des Bargeld-Topfs Patrick (18.633 NAD/EUR)
32,2026-09-09,,Ausgabe,Little Sossus,Little Sossus Campsite,Sonstiges,70.00,NAD,3.76,Patrick,Bargeld,Feuerholz; EUR zum Kurs des Bargeld-Topfs Patrick (18.633 NAD/EUR)
33,2026-09-10,,Ausgabe,Little Sossus,Little Sossus Campsite,Lebensmittel,,EUR,8.62,Nora,N26 Debit,Bei Abreise
34,2026-09-10,,Ausgabe,Solitaire,Tankstelle Solitaire,Tanken,220.00,NAD,11.68,Nora,Bargeld,Kilometerstand nicht notiert; EUR zum Kurs des Bargeld-Topfs Nora (18.841 NAD/EUR); Tankdetails in 04_tanken.csv Nr. 6
35,2026-09-10,,Ausgabe,Swakopmund,Moonvalley River Camp,Unterkunft,250.00,NAD,13.27,Nora,Bargeld,Datum = Check-in (cash on arrival) angenommen; gemeldet 11.09.; EUR zum Kurs des Bargeld-Topfs Nora (18.841 NAD/EUR)
36,2026-09-10,10:41,Ausgabe,Solitaire,Solitaire Country Lodge,Restaurant,,EUR,22.64,Nora,N26 Debit,"N26 Status 'Wird bearbeitet' - Kurs kann sich noch aendern. Kategorie Restaurant angenommen (Baeckerei/Cafe), bei Bedarf korrigieren."
